1,0.988771,0.988771,-0.977668,-0.977668,0.977668,0.977668,-0.977668,-0.977668,0.977668,0.977668,-0.977668,-0.977668,0.977668,0.977668,-0.977668,-0.977668,0.977668,0.977668,-0.977668,-0.977668,0.977668,0.977668,-0.977668,-0.977668,0.977668,0.977668,-0.977668,-0.977668,0.977668,0.977668,-0.977668,-0.977668,0.977668,0.977668,-0.977668,-0.977668,0.977668,0.977668,-0.977668,-0.977668,0.977668,0.977668,-0.977668,-0.977668,0.977668,0.977668,-0.977668,-0.977668,0.977668,0.977668,-0.977668,-0.977668,0.977668,0.977668,-0.977668,-0.977668,0.977668,0.977668,-0.977668,-0.977668,0.977668,0.977668,-0.977668,-0.977668,0.977668,0.977668,-0.977668,-0.977668,0.977668,0.977668,-0.977668,-0.977668,0.977668,0.977668,-0.977668,-0.977668,0.977668,0.977668,-0.977668,-0.977668,0.977668,0.977668,-0.977668,-0.977668,0.977668,0.977668,-0.977668,-0.977668,0.977668,0.977668,-0.977668,-0.977668,0.977668,0.977668,-0.977668,-0.977668,0.977668,0.977668,-0.977668,-0.977668,0.977668,0.977668,-0.977668,-0.977668,0.977668,0.977668,-0.977668,-0.977668,0.977668,0.977668,-0.977668,-0.977668,0.977668,0.977668,-0.977668,-0.977668,0.977668,0.977668,-0.988771,-0.988771
2,0.95548,0.95548,-0.912083,-0.912083,0.912208,0.912208,-0.912207,-0.912207,0.912207,0.912207,-0.912207,-0.912207,0.912207,0.912207,-0.912207,-0.912207,0.912207,0.912207,-0.912207,-0.912207,0.912207,0.912207,-0.912207,-0.912207,0.912207,0.912207,-0.912207,-0.912207,0.912207,0.912207,-0.912207,-0.912207,0.912207,0.912207,-0.912207,-0.912207,0.912207,0.912207,-0.912207,-0.912207,0.912207,0.912207,-0.912207,-0.912207,0.912207,0.912207,-0.912207,-0.912207,0.912207,0.912207,-0.912207,-0.912207,0.912207,0.912207,-0.912207,-0.912207,0.912207,0.912207,-0.912207,-0.912207,0.912207,0.912207,-0.912207,-0.912207,0.912207,0.912207,-0.912207,-0.912207,0.912207,0.912207,-0.912207,-0.912207,0.912207,0.912207,-0.912207,-0.912207,0.912207,0.912207,-0.912207,-0.912207,0.912207,0.912207,-0.912207,-0.912207,0.912207,0.912207,-0.912207,-0.912207,0.912207,0.912207,-0.912207,-0.912207,0.912207,0.912207,-0.912207,-0.912207,0.912207,0.912207,-0.912207,-0.912207,0.912207,0.912207,-0.912207,-0.912207,0.912207,0.912207,-0.912207,-0.912207,0.912207,0.912207,-0.912207,-0.912207,0.912207,0.912207,-0.912208,-0.912208,0.912083,0.912083,-0.95548,-0.95548
3,0.901485,0.901485,-0.807198,-0.807197,0.808117,0.808117,-0.808108,-0.808108,0.808108,0.808108,-0.808108,-0.808108,0.808108,0.808108,-0.808108,-0.808108,0.808108,0.808108,-0.808108,-0.808108,0.808108,0.808108,-0.808108,-0.808108,0.808108,0.808108,-0.808108,-0.808108,0.808108,0.808108,-0.808108,-0.808108,0.808108,0.808108,-0.808108,-0.808108,0.808108,0.808108,-0.808108,-0.808108,0.808108,0.808108,-0.808108,-0.808108,0.808108,0.808108,-0.808108,-0.808108,0.808108,0.808108,-0.808108,-0.808108,0.808108,0.808108,-0.808108,-0.808108,0.808108,0.808108,-0.808108,-0.808108,0.808108,0.808108,-0.808108,-0.808108,0.808108,0.808108,-0.808108,-0.808108,0.808108,0.808108,-0.808108,-0.808108,0.808108,0.808108,-0.808108,-0.808108,0.808108,0.808108,-0.808108,-0.808108,0.808108,0.808108,-0.808108,-0.808108,0.808108,0.808108,-0.808108,-0.808108,0.808108,0.808108,-0.808108,-0.808108,0.808108,0.808108,-0.808108,-0.808108,0.808108,0.808108,-0.808108,-0.808108,0.808108,0.808108,-0.808108,-0.808108,0.808108,0.808108,-0.808108,-0.808108,0.808108,0.808108,-0.808108,-0.808108,0.808108,0.808108,-0.808117,-0.808117,0.807197,0.807197,-0.901484,-0.901485
4,0.829205,0.829206,-0.669411,-0.669412,0.672752,0.672753,-0.6727,-0.672702,0.6727,0.672702,-0.6727,-0.672702,0.6727,0.672702,-0.6727,-0.672702,0.6727,0.672702,-0.6727,-0.672702,0.6727,0.672702,-0.6727,-0.672702,0.6727,0.672702,-0.6727,-0.672702,0.6727,0.672702,-0.6727,-0.672702,0.6727,0.672702,-0.6727,-0.672702,0.6727,0.672702,-0.6727,-0.672702,0.6727,0.672702,-0.6727,-0.672702,0.6727,0.672702,-0.6727,-0.672702,0.6727,0.672702,-0.6727,-0.672702,0.6727,0.672702,-0.6727,-0.672702,0.6727,0.672702,-0.6727,-0.672702,0.6727,0.672702,-0.6727,-0.672702,0.6727,0.672702,-0.6727,-0.672702,0.6727,0.672702,-0.6727,-0.672702,0.6727,0.672702,-0.6727,-0.672702,0.6727,0.672702,-0.6727,-0.672702,0.6727,0.672702,-0.6727,-0.672702,0.6727,0.672702,-0.6727,-0.672702,0.6727,0.672702,-0.6727,-0.672702,0.6727,0.672702,-0.6727,-0.672702,0.6727,0.672702,-0.6727,-0.672702,0.6727,0.672702,-0.6727,-0.672702,0.6727,0.672702,-0.6727,-0.672702,0.6727,0.672702,-0.6727,-0.672702,0.6727,0.672702,-0.672752,-0.672753,0.66941,0.669412,-0.829205,-0.829206
5,0.741741,0.741749,-0.506702,-0.506714,0.515344,0.515357,-0.515106,-0.51512,0.515106,0.515119,-0.515106,-0.51512,0.515106,0.515119,-0.515106,-0.51512,0.515106,0.515119,-0.515106,-0.51512,0.515106,0.515119,-0.515106,-0.51512,0.515106,0.515119,-0.515106,-0.51512,0.515106,0.515119,-0.515106,-0.51512,0.515106,0.515119,-0.515106,-0.51512,0.515106,0.515119,-0.515106,-0.51512,0.515106,0.515119,-0.515106,-0.51512,0.515106,0.515119,-0.515106,-0.51512,0.515106,0.515119,-0.515106,-0.51512,0.515106,0.515119,-0.515106,-0.51512,0.515106,0.515119,-0.515106,-0.51512,0.515106,0.515119,-0.515106,-0.51512,0.515106,0.515119,-0.515106,-0.51512,0.515106,0.515119,-0.515106,-0.51512,0.515106,0.515119,-0.515106,-0.51512,0.515106,0.515119,-0.515106,-0.51512,0.515106,0.515119,-0.515106,-0.51512,0.515106,0.515119,-0.515106,-0.51512,0.515106,0.515119,-0.515106,-0.51512,0.515106,0.515119,-0.515106,-0.51512,0.515106,0.515119,-0.515106,-0.51512,0.515106,0.515119,-0.515106,-0.51512,0.515106,0.515119,-0.515106,-0.51512,0.515106,0.515119,-0.515106,-0.51512,0.515105,0.515119,-0.515344,-0.515358,0.5067,0.506714,-0.74174,-0.741749
6,0.642909,0.642917,-0.328467,-0.328473,0.346679,0.346682,-0.345962,-0.345973,0.345963,0.345966,-0.345964,-0.345975,0.345963,0.345966,-0.345964,-0.345975,0.345963,0.345966,-0.345964,-0.345975,0.345963,0.345966,-0.345964,-0.345975,0.345963,0.345966,-0.345964,-0.345975,0.345963,0.345966,-0.345964,-0.345975,0.345963,0.345966,-0.345964,-0.345975,0.345963,0.345966,-0.345964,-0.345975,0.345963,0.345966,-0.345964,-0.345975,0.345963,0.345966,-0.345964,-0.345975,0.345963,0.345966,-0.345964,-0.345975,0.345963,0.345966,-0.345964,-0.345975,0.345963,0.345966,-0.345964,-0.345975,0.345963,0.345966,-0.345964,-0.345975,0.345963,0.345966,-0.345964,-0.345975,0.345963,0.345966,-0.345964,-0.345975,0.345963,0.345966,-0.345964,-0.345975,0.345963,0.345966,-0.345964,-0.345975,0.345963,0.345966,-0.345964,-0.345975,0.345963,0.345966,-0.345964,-0.345975,0.345963,0.345966,-0.345964,-0.345975,0.345963,0.345966,-0.345964,-0.345975,0.345963,0.345966,-0.345964,-0.345975,0.345963,0.345966,-0.345964,-0.345975,0.345963,0.345966,-0.345964,-0.345975,0.345963,0.345966,-0.345964,-0.345975,0.345961,0.345964,-0.34668,-0.346691,0.328463,0.328465,-0.642906,-0.642919
7,0.536913,0.536916,-0.144711,-0.144696,0.178101,0.178082,-0.17636,-0.176347,0.176362,0.176344,-0.176371,-0.176358,0.176362,0.176344,-0.176371,-0.176358,0.176362,0.176344,-0.176371,-0.176358,0.176362,0.176344,-0.176371,-0.176358,0.176362,0.176344,-0.176371,-0.176358,0.176362,0.176344,-0.176371,-0.176358,0.176362,0.176344,-0.176371,-0.176358,0.176362,0.176344,-0.176371,-0.176358,0.176362,0.176344,-0.176371,-0.176358,0.176362,0.176344,-0.176371,-0.176358,0.176362,0.176344,-0.176371,-0.176358,0.176362,0.176344,-0.176371,-0.176358,0.176362,0.176344,-0.176371,-0.176358,0.176362,0.176344,-0.176371,-0.176358,0.176362,0.176344,-0.176371,-0.176358,0.176362,0.176344,-0.176371,-0.176358,0.176362,0.176344,-0.176371,-0.176358,0.176362,0.176344,-0.176371,-0.176358,0.176362,0.176344,-0.176371,-0.176358,0.176362,0.176344,-0.176371,-0.176358,0.176362,0.176344,-0.176371,-0.176358,0.176362,0.176344,-0.176371,-0.176358,0.176362,0.176344,-0.176371,-0.176358,0.176362,0.176344,-0.176371,-0.176358,0.176362,0.176344,-0.176371,-0.176358,0.176362,0.176344,-0.176371,-0.176358,0.176352,0.176334,-0.178107,-0.178096,0.144697,0.144677,-0.536908,-0.536911
8,0.42818,0.428182,0.0344162,0.0344459,0.0208477,0.0208271,-0.0171687,-0.0171383,0.0171885,0.0171688,-0.0172072,-0.0171768,0.0171882,0.0171685,-0.0172072,-0.0171768,0.0171882,0.0171685,-0.0172072,-0.0171768,0.0171882,0.0171685,-0.0172072,-0.0171768,0.0171882,0.0171685,-0.0172072,-0.0171768,0.0171882,0.0171685,-0.0172072,-0.0171768,0.0171882,0.0171685,-0.0172072,-0.0171768,0.0171882,0.0171685,-0.0172072,-0.0171768,0.0171882,0.0171685,-0.0172072,-0.0171768,0.0171882,0.0171685,-0.0172072,-0.0171768,0.0171882,0.0171685,-0.0172072,-0.0171768,0.0171882,0.0171685,-0.0172072,-0.0171768,0.0171882,0.0171685,-0.0172072,-0.0171768,0.0171882,0.0171685,-0.0172072,-0.0171768,0.0171882,0.0171685,-0.0172072,-0.0171768,0.0171882,0.0171685,-0.0172072,-0.0171768,0.0171882,0.0171685,-0.0172072,-0.0171768,0.0171882,0.0171685,-0.0172072,-0.0171768,0.0171882,0.0171685,-0.0172072,-0.0171768,0.0171882,0.0171685,-0.0172072,-0.0171768,0.0171882,0.0171685,-0.0172072,-0.0171768,0.0171882,0.0171685,-0.0172072,-0.0171768,0.0171882,0.0171685,-0.0172072,-0.0171768,0.0171882,0.0171685,-0.0172072,-0.0171768,0.0171882,0.0171685,-0.0172072,-0.0171768,0.0171882,0.0171685,-0.0172075,-0.0171771,0.0171513,0.0171316,-0.0208622,-0.0208366,-0.0344401,-0.0344634,-0.428173,-0.428146
9,0.320924,0.320941,0.199587,0.199637,-0.115144,-0.115168,0.122133,0.122191,-0.122073,-0.122056,0.122011,0.12207,-0.122074,-0.122058,0.122011,0.12207,-0.122074,-0.122058,0.122011,0.12207,-0.122074,-0.122058,0.122011,0.12207,-0.122074,-0.122058,0.122011,0.12207,-0.122074,-0.122058,0.122011,0.12207,-0.122074,-0.122058,0.122011,0.12207,-0.122074,-0.122058,0.122011,0.12207,-0.122074,-0.122058,0.122011,0.12207,-0.122074,-0.122058,0.122011,0.12207,-0.122074,-0.122058,0.122011,0.12207,-0.122074,-0.122058,0.122011,0.12207,-0.122074,-0.122058,0.122011,0.12207,-0.122074,-0.122058,0.122011,0.12207,-0.122074,-0.122058,0.122011,0.12207,-0.122074,-0.122058,0.122011,0.12207,-0.122074,-0.122058,0.122011,0.12207,-0.122074,-0.122058,0.122011,0.12207,-0.122074,-0.122058,0.122011,0.12207,-0.122074,-0.122058,0.122011,0.12207,-0.122074,-0.122058,0.122011,0.12207,-0.122074,-0.122058,0.122011,0.12207,-0.122074,-0.122058,0.122011,0.12207,-0.122074,-0.122058,0.122011,0.12207,-0.122074,-0.122058,0.122011,0.12207,-0.122074,-0.122058,0.12201,0.122068,-0.122193,-0.122176,0.115086,0.115138,-0.199643,-0.199651,-0.32092,-0.320863
10,0.219175,0.2192,0.342479,0.342527,-0.221328,-0.221339,0.23369,0.233756,-0.233425,-0.233397,0.233367,0.233433,-0.23343,-0.233402,0.233367,0.233433,-0.23343,-0.233402,0.233367,0.233433,-0.23343,-0.233402,0.233367,0.233433,-0.23343,-0.233402,0.233367,0.233433,-0.23343,-0.233402,0.233367,0.233433,-0.23343,-0.233402,0.233367,0.233433,-0.23343,-0.233402,0.233367,0.233433,-0.23343,-0.233402,0.233367,0.233433,-0.23343,-0.233402,0.233367,0.233433,-0.23343,-0.233402,0.233367,0.233433,-0.23343,-0.233402,0.233367,0.233433,-0.23343,-0.233402,0.233367,0.233433,-0.23343,-0.233402,0.233367,0.233433,-0.23343,-0.233402,0.233367,0.233433,-0.23343,-0.233402,0.233367,0.233433,-0.23343,-0.233402,0.233367,0.233433,-0.23343,-0.233402,0.233367,0.233433,-0.23343,-0.233402,0.233367,0.233433,-0.23343,-0.233402,0.233367,0.233433,-0.23343,-0.233402,0.233367,0.233433,-0.23343,-0.233402,0.233367,0.233433,-0.23343,-0.233402,0.233367,0.233433,-0.23343,-0.233402,0.233367,0.233433,-0.23343,-0.233402,0.233367,0.233433,-0.23343,-0.233402,0.233361,0.233428,-0.233747,-0.23372,0.221269,0.221328,-0.342527,-0.342527,-0.219192,-0.219098
